,city,lat,lon,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,date
85,te anau,-45.4167,167.7167,54.79,87,99,5.99,NZ,1653946724
86,olavarria,-36.8927,-60.3225,45.01,68,100,5.82,AR,1653946724
87,segezha,63.7415,34.3222,47.07,92,100,5.55,RU,1653946725
88,yellowknife,62.456,-114.3525,57.72,33,20,8.05,CA,1653946502
89,upata,8.0086,-62.3989,86.2,62,100,5.21,VE,1653946725
90,lazarev,52.225,141.5131,39.54,95,100,16.98,RU,1653946725
91,port hedland,-20.3167,118.5667,57.25,94,100,14.97,AU,1653946786
92,verkhnyaya inta,65.9811,60.3094,46.31,51,21,4.16,RU,1653946786
93,eyl,7.9803,49.8164,79.54,77,19,21.81,SO,1653946786
94,victoria,22.2855,114.1577,83.32,86,99,4.0,HK,1653946023
95,payson,40.0444,-111.7321,53.38,67,75,16.11,US,1653946787
96,olafsvik,64.8945,-23.7142,49.37,79,91,10.63,IS,1653946787
97,ponta do sol,32.6667,-17.1,69.01,85,80,7.9,PT,1653946336
98,komsomolskiy,40.4272,71.7189,59.72,67,0,4.61,UZ,1653946405
99,sao filipe,14.8961,-24.4956,75.96,79,3,6.33,CV,1653946334
100,namatanai,-3.6667,152.4333,82.0,71,97,6.55,PG,1653946414
101,vila franca do campo,37.7167,-25.4333,56.19,86,98,23.24,PT,1653946788
102,ndende,-2.4008,11.3581,73.15,96,91,1.14,GA,1653946788
103,kieta,-6.2167,155.6333,81.61,75,67,2.64,PG,1653946788
104,safaga,26.7292,33.9365,87.26,28,0,9.01,EG,1653946789
105,ketchikan,55.3422,-131.6461,64.87,55,0,8.05,US,1653946524
106,nioro,13.35,-15.75,83.01,51,95,10.67,GM,1653946789
107,ancud,-41.8697,-73.8203,44.04,77,68,3.51,CL,1653946789
108,hermanus,-34.4187,19.2345,57.79,73,80,10.87,ZA,1653946336
109,puerto ayora,-0.7393,-90.3518,76.96,81,87,11.05,EC,1653946333
110,praia da vitoria,38.7333,-27.0667,58.75,82,40,21.97,PT,1653946790
111,tefe,-3.3542,-64.7114,87.91,70,40,13.8,BR,1653946790
112,schwedt,53.0596,14.2815,46.65,92,46,5.86,DE,1653946791
113,truro,50.2653,-5.0544,54.68,66,20,10.36,GB,1653946791
114,ringas,27.35,75.5667,84.83,42,0,14.29,IN,1653946791
115,biak,-0.9131,122.8766,76.98,84,86,2.28,ID,1653946792
116,nanortalik,60.1432,-45.2371,38.16,89,97,3.98,GL,1653946409
117,iisalmi,63.5592,27.1907,53.2,89,98,6.17,FI,1653946792
118,nyurba,63.2842,118.3319,48.04,71,100,6.96,RU,1653946792
119,bay roberts,47.5999,-53.2648,64.15,66,59,10.49,CA,1653946793
120,kota kinabalu,5.9749,116.0724,75.18,83,20,5.99,MY,1653946793
121,batemans bay,-35.7167,150.1833,49.1,61,39,12.17,AU,1653946793
122,monterey,36.2505,-121.2516,75.18,37,0,17.76,US,1653946708
123,goderich,43.7501,-81.7165,79.12,53,100,9.22,CA,1653946794
124,geraldton,-28.7667,114.6,54.01,71,100,11.5,AU,1653946485
125,chiredzi,-21.05,31.6667,64.31,81,79,9.73,ZW,1653946794
126,mehran,33.1222,46.1646,87.62,12,0,9.89,IR,1653946795
127,bengkulu,-3.8004,102.2655,74.95,91,36,4.43,ID,1653946258
128,lagunas,-5.2269,-75.6753,84.09,71,48,2.51,PE,1653946795
129,kruisfontein,-34.0033,24.7314,51.89,62,100,17.96,ZA,1653946795
130,lahaina,20.8783,-156.6825,87.8,73,50,6.2,US,1653946719
